YYYY,m,d,h,h'Es
1995,2,6,2,NaN
1995,2,6,3,NaN
1995,2,6,4,NaN
1995,2,6,5,NaN
1995,2,6,6,140
1995,2,6,7,135
1995,2,6,8,NaN
1995,2,6,9,NaN
1995,2,6,10,NaN
1995,2,6,11,NaN
1995,2,6,12,NaN
1995,2,6,13,NaN
1995,2,6,14,NaN
1995,2,6,15,NaN
1995,2,6,16,NaN
1995,2,6,17,NaN
1995,2,6,18,NaN
1995,2,6,19,NaN
1995,2,6,20,NaN
1995,2,6,21,NaN
1995,2,6,22,NaN
1995,2,6,23,NaN
1995,2,7,0,NaN
1995,2,7,1,NaN
1995,2,7,2,105
1995,2,7,3,NaN
1995,2,7,4,110
1995,2,7,5,NaN
1995,2,7,6,NaN
1995,2,7,7,NaN
1995,2,7,8,NaN
1995,2,7,9,NaN
1995,2,7,10,NaN
1995,2,7,11,NaN
1995,2,7,12,NaN
1995,2,7,13,NaN
1995,2,7,14,NaN
1995,2,7,15,NaN
1995,2,7,16,NaN
1995,2,7,17,NaN
1995,2,7,18,NaN
1995,2,7,19,NaN
1995,2,7,20,NaN
1995,2,7,21,NaN
1995,2,7,22,NaN
1995,2,7,23,NaN
1995,2,8,0,NaN
1995,2,8,1,NaN
1995,2,8,2,NaN
1995,2,8,3,NaN
1995,2,8,4,NaN
1995,2,8,5,NaN
1995,2,8,6,NaN
1995,2,8,7,NaN
1995,2,8,8,140
1995,2,8,9,NaN
1995,2,8,10,NaN
1995,2,8,11,NaN
1995,2,8,12,130
1995,2,8,13,NaN
1995,2,8,14,NaN
1995,2,8,15,NaN
1995,2,8,16,NaN
1995,2,8,17,NaN
1995,2,8,18,140
1995,2,8,19,140
1995,2,8,20,NaN
1995,2,8,21,110
1995,2,8,22,110
1995,2,8,23,125
1995,2,9,0,NaN
1995,2,9,1,NaN
1995,2,9,2,170
1995,2,9,3,110
1995,2,9,4,110
1995,2,9,5,150
1995,2,9,6,160
1995,2,9,7,165
1995,2,9,8,150
1995,2,9,9,140
1995,2,9,10,135
1995,2,9,11,NaN
1995,2,9,12,NaN
1995,2,9,13,110
1995,2,9,14,NaN
1995,2,9,15,NaN
1995,2,9,16,NaN
1995,2,9,17,NaN
1995,2,9,18,NaN
1995,2,9,19,NaN
1995,2,9,20,NaN
1995,2,9,21,NaN
1995,2,9,22,100
1995,2,9,23,NaN
1995,2,10,0,105
1995,2,10,1,105
1995,2,10,2,NaN
1995,2,10,3,105
1995,2,10,4,NaN
1995,2,10,5,NaN
1995,2,10,6,150
1995,2,10,7,NaN
1995,2,10,8,NaN
1995,2,10,9,NaN
1995,2,10,10,NaN
1995,2,10,11,NaN
1995,2,10,12,105
1995,2,10,13,100
1995,2,10,14,105
1995,2,10,15,100
1995,2,10,16,100
1995,2,10,17,NaN
1995,2,10,18,NaN
1995,2,10,19,NaN
1995,2,10,20,NaN
1995,2,10,21,NaN
1995,2,10,22,NaN
1995,2,10,23,NaN
1995,2,11,0,NaN
1995,2,11,1,NaN
1995,2,11,2,NaN
1995,2,11,3,NaN
1995,2,11,4,120
1995,2,11,5,NaN
1995,2,11,6,NaN
1995,2,11,7,170
1995,2,11,8,125
1995,2,11,9,120
1995,2,11,10,130
1995,2,11,11,NaN
1995,2,11,12,NaN
1995,2,11,13,NaN
1995,2,11,14,NaN
1995,2,11,15,NaN
1995,2,11,16,NaN
1995,2,11,17,NaN
1995,2,11,18,NaN
1995,2,11,19,NaN
1995,2,11,20,NaN
1995,2,11,21,110
1995,2,11,22,110
1995,2,11,23,110
1995,2,12,0,NaN
1995,2,12,1,NaN
1995,2,12,2,115
1995,2,12,3,NaN
1995,2,12,4,NaN
1995,2,12,5,125
1995,2,12,6,NaN
1995,2,12,7,125
1995,2,12,8,NaN
1995,2,12,9,NaN
1995,2,12,10,NaN
1995,2,12,11,NaN
1995,2,12,12,NaN
1995,2,12,13,NaN
1995,2,12,14,NaN
1995,2,12,15,NaN
1995,2,12,16,NaN
1995,2,12,17,NaN
1995,2,12,18,NaN
1995,2,12,19,NaN
1995,2,12,20,NaN
1995,2,12,21,NaN
1995,2,12,22,NaN
1995,2,12,23,NaN
1995,2,13,0,NaN
1995,2,13,1,NaN
1995,2,13,2,NaN
1995,2,13,3,NaN
1995,2,13,4,NaN
1995,2,13,5,NaN
1995,2,13,6,NaN
1995,2,13,7,NaN
1995,2,13,8,NaN
1995,2,13,9,NaN
1995,2,13,10,NaN
1995,2,13,11,130
1995,2,13,12,NaN
1995,2,13,13,NaN
1995,2,13,14,NaN
1995,2,13,15,NaN
1995,2,13,16,NaN
1995,2,13,17,NaN
1995,2,13,18,NaN
1995,2,13,19,NaN
1995,2,13,20,NaN
1995,2,13,21,NaN
1995,2,13,22,NaN
1995,2,13,23,NaN
1995,2,14,0,120
1995,2,14,1,NaN
1995,2,14,2,NaN
1995,2,14,3,NaN
1995,2,14,4,NaN
1995,2,14,5,NaN
1995,2,14,6,NaN
1995,2,14,7,NaN
1995,2,14,8,NaN
1995,2,14,9,NaN
1995,2,14,10,NaN
1995,2,14,11,NaN
1995,2,14,12,NaN
1995,2,14,13,NaN
1995,2,14,14,NaN
1995,2,14,15,NaN
1995,2,14,16,NaN
1995,2,14,17,NaN
1995,2,14,18,NaN
1995,2,14,19,NaN
1995,2,14,20,NaN
1995,2,14,21,NaN
1995,2,14,22,NaN
1995,2,14,23,NaN
1995,2,15,0,100
1995,2,15,1,NaN
1995,2,15,2,110
1995,2,15,3,110
1995,2,15,4,100
1995,2,15,5,100
1995,2,15,6,NaN
1995,2,15,7,NaN
1995,2,15,8,NaN
1995,2,15,9,NaN
1995,2,15,10,NaN
1995,2,15,11,100
1995,2,15,12,100
1995,2,15,13,100
1995,2,15,14,NaN
1995,2,15,15,NaN
1995,2,15,16,NaN
1995,2,15,17,NaN
1995,2,15,18,NaN
1995,2,15,19,NaN
1995,2,15,20,NaN
1995,2,15,21,NaN
1995,2,15,22,NaN
1995,2,15,23,NaN
1995,2,16,0,NaN
1995,2,16,1,NaN
1995,2,16,2,115
1995,2,16,3,NaN
1995,2,16,4,NaN
1995,2,16,5,NaN
1995,2,16,6,NaN
1995,2,16,7,NaN
1995,2,16,8,NaN
1995,2,16,9,NaN
1995,2,16,10,NaN
1995,2,16,11,100
1995,2,16,12,100
1995,2,16,13,NaN
1995,2,16,14,NaN
1995,2,16,15,NaN
1995,2,16,16,NaN
1995,2,16,17,NaN
1995,2,16,18,NaN
1995,2,16,19,NaN
1995,2,16,20,NaN
1995,2,16,21,NaN
1995,2,16,22,NaN
1995,2,16,23,NaN
1995,2,17,0,NaN
1995,2,17,1,NaN
1995,2,17,2,NaN
1995,2,17,3,NaN
1995,2,17,4,NaN
